순번,종목코드,종목명,전일종가,당일종가,당일채용주식수,전일상장주식수,"채용주식수반영
시가비중"
,KR7012450003,한화에어로스페이스,"47,000",0,"34,428,400","50,630,000",0.13
,KR7012750006,에스원,"76,600",0,"24,319,473","37,999,178",0.15
,KR7013890009,지누스,"78,900",0,"8,848,252","15,800,450",0.056
,KR7014680003,한솔케미칼,"305,000",0,"8,841,452","11,335,195",0.217
,KR7014820005,동원시스템즈,"51,900",0,"5,545,798","29,188,411",0.023
,KR7015760002,한국전력,"22,500",0,"314,562,397","641,964,077",0.569
,KR7016360000,삼성증권,"49,700",0,"60,724,000","89,300,000",0.243
,KR7016380008,KG동부제철,"10,700",0,"28,002,491","100,008,897",0.024
,KR7017670001,SK텔레콤,"61,300",0,"150,994,869","218,833,144",0.745
,KR7017800004,현대엘리베이,"41,800",0,"30,611,393","40,815,191",0.103
,KR7018260000,삼성에스디에스,"161,500",0,"33,272,454","77,377,800",0.432
,KR7018880005,한온시스템,"14,000",0,"266,900,000","533,800,000",0.301
,KR7019170000,신풍제약,"32,300",0,"34,440,243","52,984,990",0.089
,KR7020000006,한섬,"36,100",0,"13,546,500","24,630,000",0.039
,KR7020150009,일진머티리얼즈,"130,000",0,"20,288,767","46,110,835",0.212
,KR7020560009,아시아나항공,"19,550",0,"49,855,881","74,411,764",0.078
,KR7021240007,코웨이,"78,100",0,"56,087,710","73,799,619",0.352
,KR7023530009,롯데쇼핑,"90,000",0,"10,183,951","28,288,755",0.074
,KR7024110009,기업은행,"11,100",0,"253,062,199","744,300,587",0.226
,KR7026960005,동서,"30,350",0,"30,907,000","99,700,000",0.075
,KR7028050003,삼성엔지니어링,"21,900",0,"147,000,000","196,000,000",0.259
,KR7028260008,삼성물산,"118,000",0,"99,050,152","186,887,081",0.94
,KR7028670008,팬오션,"5,420",0,"224,519,195","534,569,512",0.098
,KR7029780004,삼성카드,"34,350",0,"26,647,544","115,858,891",0.074
,KR7030000004,제일기획,"24,150",0,"69,024,735","115,041,225",0.134
,KR7030200000,KT,"32,850",0,"203,667,210","261,111,808",0.538
